metric_name,treatment_a,treatment_b,ci_low,ci_high,alpha,achieved_alpha,method,n_pairs
eval_wall_s,a2c__mask_false,maskable_dqn__mask_true,4081.436463,5288.372638,0.050000,0.048828,exact,10
eval_wall_s,a2c__mask_false,maskable_ppo__mask_true,3786.892586,5089.845526,0.050000,0.048828,exact,10
eval_wall_s,a2c__mask_false,ppo__mask_false,-568.780408,1581.921651,0.050000,0.048828,exact,10
eval_wall_s,dqn__mask_false,maskable_a2c__mask_true,152.736611,2272.379243,0.050000,0.048828,exact,10
eval_wall_s,dqn__mask_false,maskable_dqn__mask_true,1508.541342,2771.762057,0.050000,0.048828,exact,10
eval_wall_s,dqn__mask_false,maskable_ppo__mask_true,1180.411505,2510.640591,0.050000,0.048828,exact,10
eval_wall_s,dqn__mask_false,ppo__mask_false,-2991.507765,-1025.703736,0.050000,0.048828,exact,10
eval_wall_s,maskable_a2c__mask_true,maskable_dqn__mask_true,247.379233,2659.770547,0.050000,0.048828,exact,10
eval_wall_s,maskable_a2c__mask_true,maskable_ppo__mask_true,-11.048894,2494.955142,0.050000,0.048828,exact,10
eval_wall_s,maskable_a2c__mask_true,ppo__mask_false,-4478.874546,-2103.458600,0.050000,0.048828,exact,10
eval_wall_s,maskable_dqn__mask_true,maskable_ppo__mask_true,-368.722451,-178.104286,0.050000,0.048828,exact,10
eval_wall_s,maskable_dqn__mask_true,ppo__mask_false,-4761.489888,-3453.854578,0.050000,0.048828,exact,10
eval_wall_s,maskable_ppo__mask_true,ppo__mask_false,-4529.733315,-3203.374657,0.050000,0.048828,exact,10
