metric,treatment_a,treatment_b,delta,p_value
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,24866.010584,0.048828
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,25919.483757,0.048828
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,26972.956930,0.048828
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,28026.430103,0.037109
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,29079.903276,0.037109
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,30133.376449,0.037109
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,31186.849622,0.037109
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,32240.322795,0.037109
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,33293.795968,0.037109
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,34347.269141,0.037109
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,35400.742314,0.027344
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,36454.215487,0.027344
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,37507.688660,0.019531
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,38561.161833,0.019531
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,39614.635006,0.019531
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,40668.108179,0.019531
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,41721.581352,0.019531
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,42775.054525,0.019531
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,43828.527698,0.019531
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,44882.000871,0.019531
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,45935.474044,0.019531
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,46988.947217,0.019531
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,48042.420390,0.019531
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,49095.893563,0.019531
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,50149.366736,0.019531
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,51202.839909,0.019531
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,52256.313082,0.019531
