metric,treatment_a,treatment_b,delta,p_value
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,7128.690398,0.064453
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,7186.792768,0.064453
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,7244.895137,0.064453
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,7302.997506,0.064453
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,7361.099876,0.064453
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,7419.202245,0.064453
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,7477.304615,0.048828
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,7535.406984,0.048828
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,7593.509353,0.048828
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,7651.611723,0.037109
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,7709.714092,0.037109
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,7767.816462,0.037109
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,7825.918831,0.037109
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,7884.021200,0.027344
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,7942.123570,0.027344
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,8000.225939,0.027344
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,8058.328309,0.019531
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,8116.430678,0.019531
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,8174.533047,0.019531
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,8232.635417,0.019531
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,8290.737786,0.019531
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,8348.840156,0.019531
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,8406.942525,0.013672
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,8465.044894,0.013672
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,8523.147264,0.013672
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,8581.249633,0.009766
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,8639.352003,0.009766
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,8697.454372,0.009766
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,8755.556741,0.009766
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,8813.659111,0.009766
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,8871.761480,0.009766
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,8929.863850,0.009766
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,8987.966219,0.009766
avg_waiting,dqn__mask_false,maskable_a2c__mask_true,9046.068588,0.009766
